id,filename,relative_path,category,modules,comment_hint,comment_snippets,api_calls,precise_query,default_query,user_query,strong_query
C0001,案例库-CDyna案例-其他模块案例-刚体动力学案例-part与颗粒离散元相互作用-刚性面Part计算.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-part与颗粒离散元相互作用-刚性面Part计算.js,CDyna案例,dyna imeshing pdyna rdface,,"pdyna. SetMat(<density, young, poisson, tension, cohesion, friction, localdamp, viscdamp >);；rdface.SetPartProp(1000, [5, 5, 5], [1,2,3,4,5,6], ""feng"");",dyna.Set dyna.Monitor rdface.SetPartProp dyna.Clear dyna.Solve dyna.TimeStepCorrect imeshing.clear pdyna.CreateByCoord pdyna.SetModel rdface.CrtPart,"请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-part与颗粒离散元相互作用-刚性面Part计算.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - part与颗粒离散元相互作用 - 刚性面Part计算。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：dyna、imeshing、pdyna、rdface。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：pdyna. SetMat(<density, young, poisson, tension, cohesion, friction, localdamp, viscdamp >);；rdface.SetPartProp(1000, [5, 5, 5], [1,2,3,4,5,6], ""feng"");。几何/网格相关接口关键词：clear。API 调用关键词（用于检索技术手册）：dyna.Set，dyna.Monitor，rdface.SetPartProp，dyna.Clear，dyna.Solve，dyna.TimeStepCorrect，imeshing.clear，pdyna.CreateByCoord。",请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-part与颗粒离散元相互作用-刚性面Part计算,我想做一个CDyna案例的数值模拟，功能是CDyna案例，功能是其他模块案例-刚体动力学案例-part与颗粒离散元相互作用-刚性面Part计算。请根据 CDEM 技术手册，合理选择dyna、imeshing、pdyna、rdface等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-part与颗粒离散元相互作用-刚性面Part计算。请参考已有 CDEM 技术手册和案例，使用dyna、imeshing、pdyna、rdface等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0002,案例库-CDyna案例-其他模块案例-刚体动力学案例-刚体部件与有限元单元接触-刚体部件与有限元单元接触.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-刚体部件与有限元单元接触-刚体部件与有限元单元接触.js,CDyna案例,blkdyn dyna imeshing rdface,,"blkdyn.MoveGrid([0,0,2],1,11);",dyna.Set blkdyn.CrtBoundIFaceByGroup blkdyn.FixV blkdyn.GenBrick3D blkdyn.MoveGrid blkdyn.SetIModel blkdyn.SetIStiffByElem blkdyn.SetIStrengthByElem blkdyn.SetLocalDamp blkdyn.SetMat,"请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-刚体部件与有限元单元接触-刚体部件与有限元单元接触.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - 刚体部件与有限元单元接触 - 刚体部件与有限元单元接触。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：blkdyn、dyna、imeshing、rdface。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：blkdyn.MoveGrid([0,0,2],1,11);。几何/网格相关接口关键词：clear。API 调用关键词（用于检索技术手册）：dyna.Set，blkdyn.CrtBoundIFaceByGroup，blkdyn.FixV，blkdyn.GenBrick3D，blkdyn.MoveGrid，blkdyn.SetIModel，blkdyn.SetIStiffByElem，blkdyn.SetIStrengthByElem。",请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-刚体部件与有限元单元接触-刚体部件与有限元单元接触,我想做一个CDyna案例的数值模拟，功能是CDyna案例，功能是其他模块案例-刚体动力学案例-刚体部件与有限元单元接触-刚体部件与有限元单元接触。请根据 CDEM 技术手册，合理选择blkdyn、dyna、imeshing、rdface等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-刚体部件与有限元单元接触-刚体部件与有限元单元接触。请参考已有 CDEM 技术手册和案例，使用blkdyn、dyna、imeshing、rdface等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0003,案例库-CDyna案例-其他模块案例-刚体动力学案例-刚体部件从斜坡上掉落-刚体部件从斜坡上掉落.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-刚体部件从斜坡上掉落-刚体部件从斜坡上掉落.js,CDyna案例,blkdyn dyna imeshing rdface,,/rdfacepartRota.dat,dyna.Set blkdyn.FixV blkdyn.CrtBoundIFaceByGroup blkdyn.GetMesh blkdyn.RotateGrid blkdyn.SetIModel blkdyn.SetIStiffByElem blkdyn.SetIStrengthByElem blkdyn.SetLocalDamp blkdyn.SetMat,请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-刚体部件从斜坡上掉落-刚体部件从斜坡上掉落.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - 刚体部件从斜坡上掉落 - 刚体部件从斜坡上掉落。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：blkdyn、dyna、imeshing、rdface。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：/rdfacepartRota.dat。几何/网格相关接口关键词：clear，genBrick3D。API 调用关键词（用于检索技术手册）：dyna.Set，blkdyn.FixV，blkdyn.CrtBoundIFaceByGroup，blkdyn.GetMesh，blkdyn.RotateGrid，blkdyn.SetIModel，blkdyn.SetIStiffByElem，blkdyn.SetIStrengthByElem。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-刚体部件从斜坡上掉落-刚体部件从斜坡上掉落,我想做一个CDyna案例的数值模拟，功能是CDyna案例，功能是其他模块案例-刚体动力学案例-刚体部件从斜坡上掉落-刚体部件从斜坡上掉落。请根据 CDEM 技术手册，合理选择blkdyn、dyna、imeshing、rdface等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-刚体部件从斜坡上掉落-刚体部件从斜坡上掉落。请参考已有 CDEM 技术手册和案例，使用blkdyn、dyna、imeshing、rdface等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0004,案例库-CDyna案例-其他模块案例-刚体动力学案例-立方体part与块体单元的接触碰撞-立方体part与块体单元的接触碰撞.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-立方体part与块体单元的接触碰撞-立方体part与块体单元的接触碰撞.js,CDyna案例,blkdyn dyna imeshing rdface,,"blkdyn.RotateGrid(20, [0,0,0], [0,0,1], 1,11);；rdface.SetPartVel([0,-5,0],[0,0,0]);；rdface.SetPartRotaVel([0,1.0,0],[0,1,0])",dyna.Set blkdyn.FixV blkdyn.CrtBoundIFaceByGroup blkdyn.GetMesh blkdyn.RotateGrid blkdyn.SetIModel blkdyn.SetIStiffByElem blkdyn.SetIStrengthByElem blkdyn.SetLocalDamp blkdyn.SetMat,"请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-立方体part与块体单元的接触碰撞-立方体part与块体单元的接触碰撞.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - 立方体part与块体单元的接触碰撞 - 立方体part与块体单元的接触碰撞。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：blkdyn、dyna、imeshing、rdface。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：blkdyn.RotateGrid(20, [0,0,0], [0,0,1], 1,11);；rdface.SetPartVel([0,-5,0],[0,0,0]);；rdface.SetPartRotaVel([0,1.0,0],[0,1,0])。几何/网格相关接口关键词：clear，genBrick3D。API 调用关键词（用于检索技术手册）：dyna.Set，blkdyn.FixV，blkdyn.CrtBoundIFaceByGroup，blkdyn.GetMesh，blkdyn.RotateGrid，blkdyn.SetIModel，blkdyn.SetIStiffByElem，blkdyn.SetIStrengthByElem。",请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-立方体part与块体单元的接触碰撞-立方体part与块体单元的接触碰撞,我想做一个CDyna案例的数值模拟，功能是CDyna案例，功能是其他模块案例-刚体动力学案例-立方体part与块体单元的接触碰撞-立方体part与块体单元的接触碰撞。请根据 CDEM 技术手册，合理选择blkdyn、dyna、imeshing、rdface等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-立方体part与块体单元的接触碰撞-立方体part与块体单元的接触碰撞。请参考已有 CDEM 技术手册和案例，使用blkdyn、dyna、imeshing、rdface等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0005,案例库-CDyna案例-其他模块案例-刚体动力学案例-自动计算part-刚性面Part测试.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-自动计算part-刚性面Part测试.js,CDyna案例,rdface,,////根据几何自动创建Part,rdface.CrtPartAuto rdface.Import,请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-自动计算part-刚性面Part测试.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - 自动计算part - 刚性面Part测试。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：rdface。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：////根据几何自动创建Part。API 调用关键词（用于检索技术手册）：rdface.CrtPartAuto，rdface.Import。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-自动计算part-刚性面Part测试,我想做一个CDyna案例的数值模拟，功能是CDyna案例，功能是其他模块案例-刚体动力学案例-自动计算part-刚性面Part测试。请根据 CDEM 技术手册，合理选择rdface等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-自动计算part-刚性面Part测试。请参考已有 CDEM 技术手册和案例，使用rdface等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0006,案例库-CDyna案例-其他模块案例-刚体动力学案例-计算Part特性-计算Part特性.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-计算Part特性-计算Part特性.js,CDyna案例,gFun imesh,,"gFun.calArbi3DModelInfo(<pBoundMesh, fDensity [, nTotal [, nPrtFlag [, nExpParFlag]] ]>);；pBoundMesh-需要计算part信息的mesh指针，导入或创建mesh会产生mesh指针；fDensity--密度，kg/m3；nTotal，分割数，可以不写；nPrtFlag-打印标记，0-1,0-不打，1-打；nExpParFlag-是否导出颗粒网格，0-不导出，1-导出",gFun.calArbi3DModelInfo imesh.importGid,"请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-计算Part特性-计算Part特性.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - 计算Part特性 - 计算Part特性。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：gFun、imesh。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：gFun.calArbi3DModelInfo(<pBoundMesh, fDensity [, nTotal [, nPrtFlag [, nExpParFlag]] ]>);；pBoundMesh-需要计算part信息的mesh指针，导入或创建mesh会产生mesh指针；fDensity--密度，kg/m3；nTotal，分割数，可以不写；nPrtFlag-打印标记，0-1,0-不打，1-打；nExpParFlag-是否导出颗粒网格，0-不导出，1-导出。API 调用关键词（用于检索技术手册）：gFun.calArbi3DModelInfo，imesh.importGid。",请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-计算Part特性-计算Part特性,我想做一个CDyna案例的数值模拟，功能是CDyna案例，功能是其他模块案例-刚体动力学案例-计算Part特性-计算Part特性。请根据 CDEM 技术手册，合理选择gFun、imesh等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-计算Part特性-计算Part特性。请参考已有 CDEM 技术手册和案例，使用gFun、imesh等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0007,案例库-CDyna案例-其他模块案例-刚体动力学案例-计算part的质量、质心及转动惯量-计算part的信息.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-计算part的质量、质心及转动惯量-计算part的信息.js,CDyna案例,gFun imesh,,"gFun.calArbi3DModelInfo(<pBoundMesh, fDensity [, nTotal [, nPrtFlag [, nExpParFlag]] ]>);",gFun.calArbi3DModelInfo imesh.importAnsys,"请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-计算part的质量、质心及转动惯量-计算part的信息.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - 计算part的质量、质心及转动惯量 - 计算part的信息。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：gFun、imesh。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：gFun.calArbi3DModelInfo(<pBoundMesh, fDensity [, nTotal [, nPrtFlag [, nExpParFlag]] ]>);。API 调用关键词（用于检索技术手册）：gFun.calArbi3DModelInfo，imesh.importAnsys。",请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-计算part的质量、质心及转动惯量-计算part的信息,我想做一个CDyna案例的数值模拟，功能是CDyna案例，功能是其他模块案例-刚体动力学案例-计算part的质量、质心及转动惯量-计算part的信息。请根据 CDEM 技术手册，合理选择gFun、imesh等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-计算part的质量、质心及转动惯量-计算part的信息。请参考已有 CDEM 技术手册和案例，使用gFun、imesh等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0008,案例库-CDyna案例-其他模块案例-刚体动力学案例-车轮与物质点耦合-轮胎转动-MPM颗粒流.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-车轮与物质点耦合-轮胎转动-MPM颗粒流.js,CDyna案例,blkdyn dyna pdyna rdface,设置当前工作路径为JavaScript脚本文件所在路径,设置当前工作路径为JavaScript脚本文件所在路径；清除GDEM-Pdyna计算核心中的内存数据；设置输出的间隔为500步；时程数据的监测步长；关闭虚质量计算开关；不平衡率；打开大变形计算开关；耦合刚度采用全局的值1-线弹性模型，2-脆断模型，3-理想弹塑性模型。；///法向刚度、切向刚度、抗拉强度、粘聚力、摩擦角；颗粒与块体单元间的接触搜索采用高级模式；设置三个方向的重力加速度；设置接触容差为0.001m；执行计算前，是否自动修正接触容差，0-不修正，1-修正。；设置颗粒的计算模式为4---mpm；1-简单有限体积法（单点积分）；2-常规FEM。；,dyna.Set dyna.Monitor pdyna.FixV dyna.Restore dyna.Solve blkdyn.InitConditionByCoord dyna.RegionMonitor dyna.Save dyna.TimeStepCorrect rdface.SetPartLocalDamp,请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-车轮与物质点耦合-轮胎转动-MPM颗粒流.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - 车轮与物质点耦合 - 轮胎转动 - MPM颗粒流。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：blkdyn、dyna、pdyna、rdface。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：设置当前工作路径为JavaScript脚本文件所在路径；清除GDEM-Pdyna计算核心中的内存数据；设置输出的间隔为500步；时程数据的监测步长；关闭虚质量计算开关；不平衡率；打开大变形计算开关；耦合刚度采用全局的值1-线弹性模型，2-脆断模型，3-理想弹塑性模型。；///法向刚度、切向刚度、抗拉强度、粘聚力、摩擦角；颗粒与块体单元间的接触搜索采用高级模式；设置三个方向的重力加速度；设置接触容差为0.001m；执行计算前，是否自动修正接触容差，0-不修正，1-修正。；设置颗粒的计算模式为4---mpm；1-简单有限体积法（单点积分）；2-常规FEM。；。API 调用关键词（用于检索技术手册）：dyna.Set，dyna.Monitor，pdyna.FixV，dyna.Restore，dyna.Solve，blkdyn.InitConditionByCoord，dyna.RegionMonitor，dyna.Save。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-车轮与物质点耦合-轮胎转动-MPM颗粒流,我现在要做一个CDyna案例的数值模拟，场景大致是：设置当前工作路径为JavaScript脚本文件所在路径。请根据 CDEM 技术手册，合理选择blkdyn、dyna、pdyna、rdface等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,我需要一个CDyna案例的脚本，对应的案例文件名是「案例库-CDyna案例-其他模块案例-刚体动力学案例-车轮与物质点耦合-轮胎转动-MPM颗粒流.js」。脚本开头的注释这样描述该场景：设置当前工作路径为JavaScript脚本文件所在路径。请参考已有 CDEM 技术手册和案例，使用blkdyn、dyna、pdyna、rdface等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0009,案例库-CDyna案例-其他模块案例-刚体动力学案例-轮胎转动与有限元土体耦合-轮胎转动--弱强度.js,案例库-CDyna案例-其他模块案例-刚体动力学案例-轮胎转动与有限元土体耦合-轮胎转动--弱强度.js,CDyna案例,blkdyn dyna imeshing rdface,,"blkdyn.RotateGrid(20, [0,0,0], [0,0,1], 1,11);；/强度及摩擦设为26,--摩擦系数0.5；blkdyn.SetIStrengthByElem(1);；/rdfacepartRota.dat",dyna.Set blkdyn.FixV dyna.Monitor blkdyn.SetLocalDamp dyna.Solve rdface.SetPartLocalDamp rdface.SetPartRotaVel blkdyn.CrtIFaceByCoord blkdyn.GetMesh blkdyn.RotateGrid,"请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-刚体动力学案例-轮胎转动与有限元土体耦合-轮胎转动--弱强度.js」，场景/主题为：其他模块案例 - 刚体动力学案例 - 轮胎转动与有限元土体耦合 - 轮胎转动 - 弱强度。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：blkdyn、dyna、imeshing、rdface。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：blkdyn.RotateGrid(20, [0,0,0], [0,0,1], 1,11);；/强度及摩擦设为26,--摩擦系数0.5；blkdyn.SetIStrengthByElem(1);；/rdfacepartRota.dat。几何/网格相关接口关键词：clear，genBrick3D。API 调用关键词（用于检索技术手册）：dyna.Set，blkdyn.FixV，dyna.Monitor，blkdyn.SetLocalDamp，dyna.Solve，rdface.SetPartLocalDamp，rdface.SetPartRotaVel，blkdyn.CrtIFaceByCoord。",请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-轮胎转动与有限元土体耦合-轮胎转动--弱强度,我想做一个CDyna案例的数值模拟，功能是CDyna案例，功能是其他模块案例-刚体动力学案例-轮胎转动与有限元土体耦合-轮胎转动--弱强度。请根据 CDEM 技术手册，合理选择blkdyn、dyna、imeshing、rdface等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,请生成一个CDyna案例的脚本，功能是其他模块案例-刚体动力学案例-轮胎转动与有限元土体耦合-轮胎转动--弱强度。请参考已有 CDEM 技术手册和案例，使用blkdyn、dyna、imeshing、rdface等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
C0010,案例库-CDyna案例-其他模块案例-结构单元案例-两端侧固定的平面壳运动-两端固定的平面壳运动.js,案例库-CDyna案例-其他模块案例-结构单元案例-两端侧固定的平面壳运动-两端固定的平面壳运动.js,CDyna案例,dyna rdface,设置当前路径为JavaScript脚本所在的路径,设置当前路径为JavaScript脚本所在的路径；设置结果的输出间隔为500步；关闭虚拟质量开关；设置重力加速度；//RdFace_MechModel  1-普通刚性面，2-板，3-壳；导入刚性面；/设置材料参数；设置边界条件；设置动态计算时步为1e-4秒；计算3万步,dyna.Set rdface.SetVelocityByCoord dyna.Solve rdface.Import rdface.SetDeformMat,请复现一个CDyna案例的 JavaScript 案例脚本，案例文件名为「案例库-CDyna案例-其他模块案例-结构单元案例-两端侧固定的平面壳运动-两端固定的平面壳运动.js」，场景/主题为：其他模块案例 - 结构单元案例 - 两端侧固定的平面壳运动 - 两端固定的平面壳运动。请严格依据 CDEM 技术手册/API（优先）来选择与确认接口与参数含义。必须使用到这些模块：dyna、rdface。请按“几何建模→网格划分→材料/模型→边界/载荷→求解参数→结果输出/监测”的顺序组织脚本，并确保脚本以 setCurDir(getSrcDir()); 开头。脚本注释/意图线索：设置当前路径为JavaScript脚本所在的路径；设置结果的输出间隔为500步；关闭虚拟质量开关；设置重力加速度；//RdFace_MechModel  1-普通刚性面，2-板，3-壳；导入刚性面；/设置材料参数；设置边界条件；设置动态计算时步为1e-4秒；计算3万步。API 调用关键词（用于检索技术手册）：dyna.Set，rdface.SetVelocityByCoord，dyna.Solve，rdface.Import，rdface.SetDeformMat。,请生成一个CDyna案例的脚本，功能是其他模块案例-结构单元案例-两端侧固定的平面壳运动-两端固定的平面壳运动,我现在要做一个CDyna案例的数值模拟，场景大致是：设置当前路径为JavaScript脚本所在的路径。请根据 CDEM 技术手册，合理选择dyna、rdface等模块，帮我写一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数和结果监测。,我需要一个CDyna案例的脚本，对应的案例文件名是「案例库-CDyna案例-其他模块案例-结构单元案例-两端侧固定的平面壳运动-两端固定的平面壳运动.js」。脚本开头的注释这样描述该场景：设置当前路径为JavaScript脚本所在的路径。请参考已有 CDEM 技术手册和案例，使用dyna、rdface等模块，生成一份完整可执行的 JavaScript 脚本，包含几何建模、网格划分、材料与模型设置、边界条件与载荷、求解参数以及结果监测。
